,CBLOF,FeatureBagging,HBOS,IForest,KNN,AverageKNN,MCD,OCSVM,PCA
68,0.5933,0.5963,0.6073,0.6067,0.6018,0.5994,0.5665,0.6183,0.6232
69,0.583,0.5984,0.6027,0.5996,0.5904,0.6009,0.5527,0.5972,0.6015
70,0.6056,0.5971,0.605,0.605,0.6105,0.6123,0.5685,0.6166,0.6121
71,0.6109,0.6097,0.6236,0.6205,0.6211,0.6175,0.5819,0.6254,0.636
72,0.5864,0.5956,0.5919,0.5993,0.5956,0.6103,0.5631,0.6023,0.6091
73,0.5792,0.5978,0.5934,0.5978,0.6019,0.6077,0.5526,0.6052,0.6033
74,0.5935,0.5972,0.6009,0.6076,0.5917,0.5984,0.5652,0.6179,0.6277
75,0.6108,0.624,0.6234,0.6347,0.6174,0.6353,0.5858,0.6251,0.6269
76,0.5908,0.5877,0.5951,0.592,0.5908,0.6001,0.5529,0.597,0.6057
77,0.5913,0.5858,0.5876,0.5777,0.5957,0.6105,0.5527,0.5988,0.605
78,0.5923,0.5929,0.5929,0.6016,0.5908,0.6103,0.5551,0.5942,0.5973
79,0.6065,0.6034,0.6174,0.6333,0.6162,0.6138,0.5711,0.6138,0.6272
80,0.5988,0.5927,0.6098,0.6189,0.6018,0.6,0.5726,0.6183,0.6256
81,0.6037,0.6205,0.6109,0.6283,0.6181,0.6203,0.5785,0.6193,0.6205
82,0.6041,0.6089,0.6051,0.6168,0.6133,0.615,0.5709,0.6204,0.627
83,0.599,0.5978,0.5971,0.6058,0.6058,0.604,0.5618,0.6071,0.6027
84,0.5926,0.6059,0.6107,0.6301,0.6228,0.6186,0.5775,0.626,0.6252
85,0.6065,0.6053,0.6041,0.592,0.5981,0.5981,0.5769,0.6138,0.6105
86,0.5752,0.602,0.599,0.6138,0.5914,0.5989,0.551,0.5995,0.6076
87,0.601,0.6105,0.6105,0.6099,0.6069,0.6117,0.5723,0.6195,0.6195
88,0.6179,0.6272,0.6143,0.631,0.6286,0.6321,0.5903,0.6274,0.6262
89,0.6074,0.6019,0.6086,0.5983,0.6041,0.6211,0.5735,0.6189,0.6152
90,0.5839,0.5965,0.6077,0.6046,0.5949,0.6004,0.5612,0.6001,0.6064
91,0.5981,0.606,0.5962,0.5956,0.5974,0.6139,0.5591,0.6127,0.6127
92,0.599,0.6092,0.617,0.6297,0.6146,0.6194,0.572,0.6176,0.6267
93,0.5828,0.5968,0.5803,0.6144,0.5949,0.6032,0.5505,0.5983,0.5989
94,0.5907,0.6029,0.6112,0.6188,0.5999,0.6066,0.5577,0.6121,0.62
95,0.5956,0.5977,0.6221,0.6166,0.594,0.6074,0.5714,0.6194,0.6221
96,0.5976,0.6043,0.597,0.5945,0.5976,0.6049,0.5695,0.6201,0.6177
97,0.6068,0.6086,0.6123,0.6169,0.6147,0.6147,0.5728,0.6189,0.6189
98,0.6132,0.632,0.629,0.629,0.6339,0.6396,0.5938,0.6355,0.6455
99,0.6062,0.6188,0.6212,0.6228,0.6152,0.6158,0.5781,0.629,0.6349
100,0.5886,0.6004,0.5991,0.6072,0.596,0.6041,0.5581,0.6184,0.614
101,0.5908,0.5999,0.6047,0.6053,0.6174,0.618,0.5811,0.6235,0.6308
102,0.6056,0.6212,0.6339,0.6255,0.6188,0.6321,0.5894,0.6291,0.6354
103,0.5993,0.616,0.6001,0.5971,0.6056,0.6185,0.5585,0.6173,0.6203
104,0.597,0.5901,0.6057,0.6176,0.5901,0.592,0.5552,0.6042,0.6188
105,0.6132,0.6181,0.6023,0.612,0.6096,0.6132,0.5689,0.6205,0.629
106,0.5965,0.6024,0.599,0.6042,0.5912,0.6089,0.5651,0.6104,0.6179
107,0.5909,0.5977,0.6044,0.6106,0.5933,0.6156,0.5609,0.6082,0.623
108,0.6021,0.5982,0.618,0.6239,0.6147,0.6226,0.5835,0.6265,0.6275
109,0.5935,0.6039,0.6046,0.6283,0.6119,0.6199,0.5701,0.6199,0.6322
110,0.6099,0.6243,0.6261,0.6225,0.6087,0.6207,0.5827,0.6237,0.6267
111,0.6013,0.6086,0.6053,0.6249,0.5941,0.6044,0.5572,0.6134,0.6231
112,0.5813,0.6028,0.6145,0.5991,0.6053,0.6071,0.5672,0.6151,0.6212
113,0.5904,0.5879,0.5929,0.6165,0.5923,0.601,0.55,0.6109,0.6109
114,0.6058,0.6028,0.6131,0.6052,0.6107,0.6295,0.5785,0.6252,0.6313
115,0.6041,0.6108,0.6175,0.623,0.6297,0.623,0.5773,0.6236,0.6255
116,0.6075,0.6038,0.6104,0.623,0.618,0.6162,0.563,0.6131,0.6218
117,0.5985,0.5998,0.6225,0.6232,0.6071,0.625,0.5825,0.6201,0.6238
118,0.6292,0.6304,0.6166,0.6292,0.6388,0.64,0.5933,0.64,0.6328
119,0.5998,0.6068,0.6222,0.624,0.618,0.618,0.5743,0.6161,0.6246
120,0.5884,0.5977,0.5909,0.5816,0.6149,0.6205,0.5582,0.6081,0.6118
121,0.613,0.6098,0.6351,0.6154,0.6178,0.6208,0.5891,0.6333,0.6321
122,0.6127,0.6157,0.6187,0.6088,0.6042,0.6145,0.5859,0.6236,0.6284
123,0.6087,0.6136,0.6236,0.633,0.6142,0.6306,0.5918,0.6298,0.6343
124,0.5979,0.5998,0.5954,0.5905,0.5967,0.5948,0.5584,0.6016,0.6096
125,0.5916,0.5861,0.6101,0.6107,0.5972,0.6015,0.5676,0.6101,0.6157
126,0.6128,0.6074,0.6308,0.631,0.605,0.6165,0.582,0.631,0.6352
127,0.5998,0.5886,0.5935,0.6259,0.6033,0.61,0.5605,0.607,0.61
128,0.5928,0.6106,0.6063,0.6124,0.6032,0.6106,0.5762,0.6278,0.6241
129,0.5811,0.5836,0.5981,0.6,0.5925,0.5887,0.5541,0.5975,0.5994
130,0.5838,0.5934,0.5965,0.5959,0.5984,0.6096,0.5486,0.5934,0.5946
131,0.615,0.6144,0.6168,0.636,0.627,0.6228,0.5886,0.6324,0.636
132,0.6061,0.6073,0.617,0.6308,0.6049,0.6079,0.5821,0.6314,0.6392
133,0.5862,0.5922,0.575,0.6061,0.5955,0.5968,0.5507,0.6061,0.6117
134,0.6044,0.6044,0.5995,0.6165,0.6086,0.6177,0.5774,0.6104,0.6208
135,0.5866,0.5878,0.6001,0.5995,0.5952,0.6001,0.5601,0.6137,0.6051
136,0.6163,0.6169,0.6175,0.6235,0.6271,0.6371,0.5925,0.6289,0.6289
137,0.5954,0.5954,0.5933,0.6094,0.5954,0.6051,0.5673,0.6234,0.624
138,0.6151,0.6246,0.6216,0.6467,0.6238,0.6274,0.5941,0.6294,0.6306
139,0.6159,0.6232,0.6099,0.6322,0.6165,0.6232,0.5882,0.6335,0.6359
140,0.5945,0.6,0.6055,0.5926,0.6055,0.608,0.5594,0.6055,0.5985
141,0.6058,0.6085,0.6142,0.6442,0.6136,0.6202,0.5811,0.6214,0.6256
142,0.6028,0.6144,0.6174,0.6294,0.6236,0.6278,0.5717,0.6181,0.6266
143,0.5884,0.5952,0.5989,0.6063,0.5927,0.6014,0.5678,0.6063,0.6131
144,0.6023,0.5968,0.6208,0.6134,0.6073,0.603,0.5716,0.6146,0.6202
145,0.5929,0.6164,0.6122,0.6182,0.617,0.6188,0.5766,0.6164,0.6194
146,0.6081,0.6166,0.613,0.6324,0.6215,0.6312,0.5741,0.6219,0.633
147,0.6009,0.6015,0.5984,0.6002,0.6094,0.6159,0.5685,0.61,0.6174
148,0.6027,0.5993,0.6029,0.5987,0.5907,0.6036,0.5674,0.6207,0.6268
