,CBLOF,FeatureBagging,HBOS,IForest,KNN,AverageKNN,MCD,OCSVM,PCA
194,0.8162,0.8052,0.8955,0.8408,0.8336,0.8324,0.8288,0.8465,0.8717
195,0.8296,0.8086,0.8949,0.8537,0.8296,0.8293,0.832,0.845,0.8759
196,0.8282,0.8122,0.8909,0.8482,0.8431,0.8428,0.8247,0.8411,0.7867
197,0.8205,0.8052,0.8936,0.8235,0.8409,0.8415,0.828,0.8415,0.7723
198,0.8257,0.8016,0.8823,0.8486,0.8423,0.839,0.8263,0.8362,0.8745
199,0.827,0.8009,0.894,0.8783,0.8342,0.833,0.8321,0.8446,0.7741
200,0.8479,0.7826,0.8276,0.8147,0.8854,0.8854,0.7542,0.7539,0.7567
201,0.8605,0.799,0.8598,0.839,0.8908,0.8855,0.7686,0.7719,0.8035
202,0.8797,0.8181,0.8347,0.8139,0.8788,0.8753,0.7644,0.7698,0.7893
203,0.8576,0.7853,0.8417,0.7984,0.8777,0.8795,0.7469,0.7423,0.7579
204,0.8491,0.7982,0.8521,0.8145,0.8776,0.8764,0.7552,0.7524,0.7955
205,0.873,0.7902,0.8126,0.7895,0.8658,0.8642,0.7506,0.7509,0.757
206,0.8633,0.8041,0.8511,0.7977,0.8763,0.8769,0.7599,0.7523,0.7849
207,0.8715,0.7869,0.8479,0.8189,0.8828,0.8791,0.7568,0.7486,0.7893
208,0.8376,0.7969,0.8546,0.8056,0.8876,0.8808,0.7621,0.7651,0.787
209,0.8729,0.8,0.8605,0.8201,0.8905,0.8867,0.7706,0.7688,0.743
210,0.8569,0.8014,0.8239,0.7594,0.8735,0.8726,0.7543,0.7525,0.7914
211,0.8496,0.8034,0.8315,0.8155,0.8838,0.8844,0.7539,0.7521,0.7711
212,0.8487,0.7966,0.8627,0.8108,0.877,0.8742,0.7563,0.7575,0.7873
213,0.8672,0.8096,0.8274,0.8284,0.8794,0.8762,0.7628,0.7625,0.7902
214,0.8525,0.8052,0.8573,0.8187,0.8654,0.8693,0.7657,0.7632,0.822
215,0.8705,0.7961,0.8436,0.803,0.8778,0.8763,0.7529,0.7551,0.768
216,0.8701,0.7966,0.8511,0.7978,0.8788,0.8764,0.7525,0.7537,0.767
217,0.8581,0.7946,0.8535,0.8073,0.8835,0.8805,0.754,0.7531,0.7812
218,0.8711,0.7946,0.8479,0.788,0.8824,0.8795,0.7625,0.758,0.8099
219,0.8627,0.8062,0.862,0.7884,0.8889,0.8886,0.7637,0.7652,0.7851
220,0.8288,0.8053,0.884,0.8505,0.8388,0.8354,0.8351,0.8465,0.8659
221,0.8179,0.7921,0.8928,0.8303,0.8369,0.8312,0.8254,0.8505,0.8687
222,0.8281,0.7989,0.8979,0.8335,0.8355,0.8344,0.8272,0.838,0.7742
223,0.8247,0.7965,0.8688,0.8595,0.8406,0.8358,0.8325,0.8541,0.8793
224,0.8199,0.8042,0.8958,0.8687,0.8358,0.8343,0.8322,0.8497,0.7743
225,0.8198,0.7991,0.8878,0.8918,0.8222,0.8219,0.8398,0.8523,0.7717
226,0.822,0.7944,0.8746,0.8548,0.8329,0.8266,0.8314,0.8396,0.866
227,0.8161,0.7846,0.8967,0.8335,0.8265,0.8234,0.8338,0.8512,0.8827
228,0.8377,0.8104,0.8748,0.8407,0.8308,0.8272,0.8326,0.8497,0.7825
229,0.8315,0.7905,0.8781,0.8393,0.8402,0.8399,0.8294,0.8411,0.7775
230,0.8146,0.8101,0.8944,0.8676,0.8346,0.8355,0.8283,0.8499,0.7849
231,0.8161,0.8037,0.8758,0.8708,0.8371,0.8359,0.8245,0.8386,0.8762
